"date","TMAX_value","TMAX_units","TMIN_value","TMIN_units","PRCP_value","PRCP_units","SNOW_value","SNOW_units"
2000-01-01,144,"celcius_tenths",-44,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-02,133,"celcius_tenths",6,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-03,206,"celcius_tenths",106,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-04,211,"celcius_tenths",139,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-05,217,"celcius_tenths",22,"celcius_tenths",320,"mm_tenths",0,"mm"
2000-01-06,72,"celcius_tenths",-44,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-07,100,"celcius_tenths",-50,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-08,133,"celcius_tenths",-39,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-09,72,"celcius_tenths",-28,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-10,89,"celcius_tenths",33,"celcius_tenths",8,"mm_tenths",0,"mm"
2000-01-11,106,"celcius_tenths",28,"celcius_tenths",155,"mm_tenths",0,"mm"
2000-01-12,139,"celcius_tenths",-11,"celcius_tenths",3,"mm_tenths",0,"mm"
2000-01-13,117,"celcius_tenths",-6,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-14,161,"celcius_tenths",-61,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-15,0,"celcius_tenths",-83,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-16,44,"celcius_tenths",-67,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-17,161,"celcius_tenths",-83,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-18,-17,"celcius_tenths",-106,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-19,-56,"celcius_tenths",-106,"celcius_tenths",5,"mm_tenths",5,"mm"
2000-01-20,39,"celcius_tenths",-100,"celcius_tenths",18,"mm_tenths",48,"mm"
2000-01-21,17,"celcius_tenths",-94,"celcius_tenths",28,"mm_tenths",28,"mm"
2000-01-22,-39,"celcius_tenths",-117,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-23,-39,"celcius_tenths",-106,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-24,-6,"celcius_tenths",-44,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-25,50,"celcius_tenths",-33,"celcius_tenths",122,"mm_tenths",140,"mm"
2000-01-26,-22,"celcius_tenths",-67,"celcius_tenths",109,"mm_tenths",114,"mm"
2000-01-27,-39,"celcius_tenths",-89,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-28,-28,"celcius_tenths",-111,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-29,17,"celcius_tenths",-111,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-30,61,"celcius_tenths",-117,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-01-31,-6,"celcius_tenths",-50,"celcius_tenths",203,"mm_tenths",38,"mm"
2000-02-01,44,"celcius_tenths",-94,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-02,50,"celcius_tenths",-61,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-03,22,"celcius_tenths",-83,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-04,39,"celcius_tenths",-67,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-05,44,"celcius_tenths",-22,"celcius_tenths",15,"mm_tenths",13,"mm"
2000-02-06,56,"celcius_tenths",-28,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-07,61,"celcius_tenths",-39,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-08,117,"celcius_tenths",-39,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-09,44,"celcius_tenths",-89,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-10,117,"celcius_tenths",-83,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-11,150,"celcius_tenths",-39,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-12,172,"celcius_tenths",-6,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-13,0,"celcius_tenths",-78,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-14,39,"celcius_tenths",-22,"celcius_tenths",41,"mm_tenths",0,"mm"
2000-02-15,183,"celcius_tenths",11,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-16,83,"celcius_tenths",-22,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-17,189,"celcius_tenths",-11,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-18,72,"celcius_tenths",-17,"celcius_tenths",43,"mm_tenths",13,"mm"
2000-02-19,50,"celcius_tenths",-11,"celcius_tenths",173,"mm_tenths",0,"mm"
2000-02-20,128,"celcius_tenths",6,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-21,94,"celcius_tenths",22,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-22,106,"celcius_tenths",-22,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-23,150,"celcius_tenths",-22,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-24,161,"celcius_tenths",17,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-25,222,"celcius_tenths",56,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-26,278,"celcius_tenths",61,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-27,89,"celcius_tenths",61,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-02-28,206,"celcius_tenths",56,"celcius_tenths",226,"mm_tenths",0,"mm"
2000-02-29,156,"celcius_tenths",28,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-01,172,"celcius_tenths",6,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-02,183,"celcius_tenths",44,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-03,128,"celcius_tenths",6,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-04,128,"celcius_tenths",-6,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-05,156,"celcius_tenths",6,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-06,194,"celcius_tenths",0,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-07,172,"celcius_tenths",-11,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-08,222,"celcius_tenths",6,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-09,300,"celcius_tenths",94,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-10,267,"celcius_tenths",106,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-11,233,"celcius_tenths",89,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-12,156,"celcius_tenths",83,"celcius_tenths",64,"mm_tenths",0,"mm"
2000-03-13,89,"celcius_tenths",-11,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-14,117,"celcius_tenths",-11,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-15,161,"celcius_tenths",44,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-16,222,"celcius_tenths",83,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-17,228,"celcius_tenths",78,"celcius_tenths",102,"mm_tenths",0,"mm"
2000-03-18,89,"celcius_tenths",-50,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-19,61,"celcius_tenths",-22,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-20,83,"celcius_tenths",11,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-21,100,"celcius_tenths",33,"celcius_tenths",89,"mm_tenths",0,"mm"
2000-03-22,61,"celcius_tenths",39,"celcius_tenths",490,"mm_tenths",0,"mm"
2000-03-23,94,"celcius_tenths",33,"celcius_tenths",5,"mm_tenths",0,"mm"
2000-03-24,183,"celcius_tenths",39,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-25,217,"celcius_tenths",72,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-26,239,"celcius_tenths",100,"celcius_tenths",76,"mm_tenths",0,"mm"
2000-03-27,200,"celcius_tenths",28,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-28,228,"celcius_tenths",72,"celcius_tenths",335,"mm_tenths",0,"mm"
2000-03-29,172,"celcius_tenths",50,"celcius_tenths",20,"mm_tenths",0,"mm"
2000-03-30,167,"celcius_tenths",6,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-03-31,194,"celcius_tenths",6,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-01,172,"celcius_tenths",17,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-02,222,"celcius_tenths",100,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-03,222,"celcius_tenths",139,"celcius_tenths",15,"mm_tenths",0,"mm"
2000-04-04,250,"celcius_tenths",150,"celcius_tenths",71,"mm_tenths",0,"mm"
2000-04-05,178,"celcius_tenths",28,"celcius_tenths",20,"mm_tenths",0,"mm"
2000-04-06,144,"celcius_tenths",33,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-07,283,"celcius_tenths",39,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-08,244,"celcius_tenths",100,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-09,267,"celcius_tenths",0,"celcius_tenths",244,"mm_tenths",0,"mm"
2000-04-10,133,"celcius_tenths",11,"celcius_tenths",5,"mm_tenths",0,"mm"
2000-04-11,200,"celcius_tenths",72,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-12,178,"celcius_tenths",94,"celcius_tenths",10,"mm_tenths",0,"mm"
2000-04-13,139,"celcius_tenths",6,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-14,133,"celcius_tenths",17,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-15,167,"celcius_tenths",17,"celcius_tenths",8,"mm_tenths",0,"mm"
2000-04-16,178,"celcius_tenths",111,"celcius_tenths",36,"mm_tenths",0,"mm"
2000-04-17,283,"celcius_tenths",156,"celcius_tenths",127,"mm_tenths",0,"mm"
2000-04-18,161,"celcius_tenths",72,"celcius_tenths",183,"mm_tenths",0,"mm"
2000-04-19,78,"celcius_tenths",67,"celcius_tenths",102,"mm_tenths",0,"mm"
2000-04-20,211,"celcius_tenths",67,"celcius_tenths",3,"mm_tenths",0,"mm"
2000-04-21,222,"celcius_tenths",78,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-22,206,"celcius_tenths",78,"celcius_tenths",135,"mm_tenths",0,"mm"
2000-04-23,139,"celcius_tenths",78,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-24,133,"celcius_tenths",72,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-25,217,"celcius_tenths",89,"celcius_tenths",18,"mm_tenths",0,"mm"
2000-04-26,122,"celcius_tenths",22,"celcius_tenths",241,"mm_tenths",0,"mm"
2000-04-27,156,"celcius_tenths",33,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-28,133,"celcius_tenths",67,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-29,167,"celcius_tenths",72,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-04-30,78,"celcius_tenths",228,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-01,233,"celcius_tenths",39,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-02,267,"celcius_tenths",56,"celcius_tenths",13,"mm_tenths",0,"mm"
2000-05-03,239,"celcius_tenths",61,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-04,261,"celcius_tenths",83,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-05,278,"celcius_tenths",94,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-06,328,"celcius_tenths",172,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-07,344,"celcius_tenths",178,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-08,356,"celcius_tenths",178,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-09,367,"celcius_tenths",183,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-10,339,"celcius_tenths",217,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-11,333,"celcius_tenths",117,"celcius_tenths",94,"mm_tenths",0,"mm"
2000-05-12,283,"celcius_tenths",133,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-13,333,"celcius_tenths",183,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-14,356,"celcius_tenths",144,"celcius_tenths",66,"mm_tenths",0,"mm"
2000-05-15,267,"celcius_tenths",83,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-16,228,"celcius_tenths",56,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-17,244,"celcius_tenths",72,"celcius_tenths",5,"mm_tenths",0,"mm"
2000-05-18,272,"celcius_tenths",133,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-19,311,"celcius_tenths",194,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-20,278,"celcius_tenths",128,"celcius_tenths",79,"mm_tenths",0,"mm"
2000-05-21,161,"celcius_tenths",122,"celcius_tenths",23,"mm_tenths",0,"mm"
2000-05-22,206,"celcius_tenths",133,"celcius_tenths",8,"mm_tenths",0,"mm"
2000-05-23,178,"celcius_tenths",144,"celcius_tenths",173,"mm_tenths",0,"mm"
2000-05-24,228,"celcius_tenths",150,"celcius_tenths",18,"mm_tenths",0,"mm"
2000-05-25,317,"celcius_tenths",161,"celcius_tenths",30,"mm_tenths",0,"mm"
2000-05-26,267,"celcius_tenths",122,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-27,283,"celcius_tenths",139,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-28,189,"celcius_tenths",133,"celcius_tenths",48,"mm_tenths",0,"mm"
2000-05-29,172,"celcius_tenths",122,"celcius_tenths",147,"mm_tenths",0,"mm"
2000-05-30,189,"celcius_tenths",100,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-05-31,189,"celcius_tenths",56,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-01,261,"celcius_tenths",83,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-02,328,"celcius_tenths",194,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-03,356,"celcius_tenths",211,"celcius_tenths",84,"mm_tenths",0,"mm"
2000-06-04,267,"celcius_tenths",139,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-05,256,"celcius_tenths",144,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-06,222,"celcius_tenths",156,"celcius_tenths",66,"mm_tenths",0,"mm"
2000-06-07,189,"celcius_tenths",139,"celcius_tenths",38,"mm_tenths",0,"mm"
2000-06-08,272,"celcius_tenths",133,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-09,294,"celcius_tenths",156,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-10,344,"celcius_tenths",183,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-11,356,"celcius_tenths",228,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-12,372,"celcius_tenths",178,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-13,339,"celcius_tenths",161,"celcius_tenths",5,"mm_tenths",0,"mm"
2000-06-14,211,"celcius_tenths",178,"celcius_tenths",5,"mm_tenths",0,"mm"
2000-06-15,239,"celcius_tenths",178,"celcius_tenths",3,"mm_tenths",0,"mm"
2000-06-16,306,"celcius_tenths",194,"celcius_tenths",264,"mm_tenths",0,"mm"
2000-06-17,311,"celcius_tenths",206,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-18,333,"celcius_tenths",217,"celcius_tenths",165,"mm_tenths",0,"mm"
2000-06-19,328,"celcius_tenths",211,"celcius_tenths",30,"mm_tenths",0,"mm"
2000-06-20,233,"celcius_tenths",122,"celcius_tenths",3,"mm_tenths",0,"mm"
2000-06-21,306,"celcius_tenths",156,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-22,311,"celcius_tenths",200,"celcius_tenths",282,"mm_tenths",0,"mm"
2000-06-23,322,"celcius_tenths",183,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-24,317,"celcius_tenths",194,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-25,339,"celcius_tenths",211,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-26,344,"celcius_tenths",211,"celcius_tenths",104,"mm_tenths",0,"mm"
2000-06-27,350,"celcius_tenths",217,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-06-28,328,"celcius_tenths",161,"celcius_tenths",43,"mm_tenths",0,"mm"
2000-06-29,328,"celcius_tenths",211,"celcius_tenths",38,"mm_tenths",0,"mm"
2000-06-30,306,"celcius_tenths",144,"celcius_tenths",8,"mm_tenths",0,"mm"
2000-07-01,300,"celcius_tenths",150,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-07-02,311,"celcius_tenths",167,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-07-03,344,"celcius_tenths",183,"celcius_tenths",0,"mm_tenths",0,"mm"
2000-07-04,339,"celcius_tenths",183,"celcius_tenths",94,"mm_tenths",0,"mm"
